id,budget_cheap,budget_reasonable,budget_expensive,priority_food,priority_drink,priority_atmosphere,priority_speed,can_alone,cannot_alone,shop_name,genre,reservation,reservation_availability,address,transportation,bussiness_hours,regular_holiday,budget_from_user,budget_from_user_night_min,budget_from_user_night_max,budget_from_user_lunch_min,budget_from_user_lunch_max,budget_from_shop,budget_from_shop_night_min,budget_from_shop_night_max,budget_from_shop_lunch_min,budget_from_shop_lunch_max,card,capacity,capacity_number,private_room,parking,facility,mobile_phone,scene,service,1st_poster,last_poster,reserved,smoking,drinking,cuisine,location,HP,official_account,opening_date,contact,remark,child_accompanied,charge,course,free_drink_course,related_store,link,tel,dress_code,id,latitude,longitude,genre_oaiso,URL,genre_oaiso_s
54,3,0,0,0,3,0,0.4,3,0,大井町ハイボール,バー,no data,,東京都品川区東大井5-3-1東小路2Ｆ,大井町大井町駅から84m,夜10時以降入店可,,"[夜]￥1,000～￥1,999",1000,1999,,,no data,,,,,no data,no data,,無,無,カウンター席あり,docomo、au、SoftBank,一人で入りやすい｜知人・友人と,no data,じむち（824）,イノガシラゴロ～（700）...店舗情報（'15/11/1911:04）編集履歴を詳しく見る,no data,完全禁煙,焼酎あり、ワインあり,no data,隠れ家レストラン,no data,no data,no data,no data,no data,no data,なし,no data,no data,no data,no data,no data,no data,54,35.6075903,139.7354553,バー・お酒,https://tabelog.com/tokyo/A1315/A131501/13148922/,バー
56,3,0,0,3,0.4,0,0.4,3,0,とんかつ 美竹,とんかつ、かつ丼・かつ重、居酒屋,no data,予約可,東京都品川区東大井6-5-5,JR大井町駅から徒歩４分京浜急行青物横丁駅から徒歩１２分大井町駅から320m,[月～土]11:30～14:0017:30～22:00ランチ営業,日曜・祝日,"[夜]￥1,000～￥1,999[昼]￥1,000～￥1,999",1000,1999,1000,1999,no data,,,,,不可,no data,,no data,無,カウンター席あり、座敷あり,docomo,家族・子供と｜一人で入りやすい｜知人・友人と,子供可,nkinos（0）,ふるけんけん（2）...店舗情報（'17/03/0413:30）編集履歴を詳しく見る,no data,全面喫煙可,日本酒あり、焼酎あり,no data,一軒家レストラン,no data,no data,1989年11月,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56,35.6049101,139.7357832,居酒屋,https://tabelog.com/tokyo/A1315/A131501/13040848/,居酒屋
61,3,0,0,2,1,0,0.4,3,0,やきとりJACO,焼鳥、居酒屋、炭火焼き,no data,予約可,東京都品川区大井1-10-7,大井町駅（ＪＲ西口、東急大井町線改札口）より１５０ｍ。大井町駅から139m,［月～金］１７：００～２３：３0※料理は、22：30(L.o.)、ドリンクは、23：00(L.o.)になります［土・祝］１６：３０～２３：００夜10時以降入店可,日曜日,"[夜]￥2,000～￥2,999",2000,2999,,,"[夜]￥3,000～￥3,999",3000,3999,,,不可,32席（２Ｆ完全個室（８～１２人可））,32,有（8人可、10～20人可）ご宴会コースのご予約は、全て2階の個室にお通しします。,無,カウンター席あり、座敷あり、スポーツ観戦可,docomo、au、SoftBank、Y!mobile,家族・子供と｜知人・友人と,2時間半以上の宴会可、子供可,霜降りすと（10）,no data,不可,全面喫煙可,日本酒あり、焼酎あり、ワインあり,野菜料理にこだわる、魚料理にこだわる,隠れ家レストラン、一軒家レストラン,no data,no data,2005年8月8日,no data,（注１）コースは、当店は飲み放題＆食べ放題コースです。（注２）祝日で、築地場外市場が休市のときは休日となります。[要ご確認ください],土曜日は、赤ちゃんやお子さん同伴のご家族連れや、ご夫婦連れ等、プライベートシーンでのご利用が多いので、気兼ねなくお越しください！,no data,食べ放題、4000円～5000円のコース,飲み放題、4000円～5000円の飲み放題コース,no data,ホットペッパーグルメ,03-3774-6860,no data,61,35.6073986,139.7330499,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13047522/,焼鳥
64,0,3,0,2,1,0,0,3,0,たもん,居酒屋,no data,予約可,東京都品川区大井1-42-8,JR京浜東北線大井町駅より徒歩6～7分大井町駅から479m,[月〜土]17:00～24:00(L.O.23:00)*連休の場合、初めの休日を営業する場合がございます。お問い合わせ下さい。夜10時以降入店可,日曜日(翌日が祝日の場合は営業する場合もございます),"[夜]￥3,000～￥3,999[昼]～￥999",3000,3999,0,999,no data,,,,,no data,20席,20,有,無,カウンター席あり,SoftBank、docomo,一人で入りやすい｜知人・友人と,no data,組長＠虎猿（0）,mimu421（0）...店舗情報（'16/07/3011:56）編集履歴を詳しく見る,no data,全面喫煙可,日本酒あり、焼酎あり、カクテルあり,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,64,35.6038268,139.7319862,居酒屋,https://tabelog.com/tokyo/A1315/A131501/13105022/,居酒屋
67,0,3,0,1,1.4,0,0,2,1,バルザル 大井町店,イタリアン、バル・バール、居酒屋,no data,予約可,東京都品川区大井4-3-1ヴィアイン大井町1F,りんかい線大井町駅A2番出口徒歩4分ＪＲ京浜東北線大井町駅中央口徒歩4分大井町駅から355m,【ランチ】11:30～14:30（LO14:00）【ディナー】平日・祝前日17:00～23:30（LO22:30)土日祝17:00～23:00（LO22:00)ランチ営業、日曜営業,不定休日あり,"[夜]￥3,000～￥3,999[昼]￥1,000～￥1,999",3000,3999,1000,1999,"[夜]￥3,000～￥3,999[昼]￥1,000～￥1,999",3000,3999,1000,1999,可（VISA、MASTER、JCB、AMEX、Diners）,70席（貸切については、店舗にお問い合わせください。）,70,無半個室あり(分煙のお席ですのでお子様連れ、妊婦のお客様を優先させていただいております),無提携はしていませんが、地下に駐車場有,オシャレな空間、カウンター席あり、ソファー席あり、スポーツ観戦可,docomo、au、SoftBank,家族・子供と,2時間半以上の宴会可、お祝い・サプライズ可、子供可,うずひよ（15）,no data,可,分煙平日は分煙。土・日・祝日は終日全面禁煙。,焼酎あり、ワインあり、カクテルあり、ワインにこだわる、カクテルにこだわる,魚料理にこだわる,no data,no data,https://www.instagram.com/barsalu_oimachi,2016年10月1日,no data,no data,no data,無し,3000円以下のコース、4000円～5000円のコース、5000円～8000円のコース,飲み放題、3000円以下の飲み放題コース、4000円～5000円の飲み放題コース,バルザルの店舗一覧を見る,no data,03-6303-7236,no data,67,35.604385,139.734117,居酒屋,https://tabelog.com/tokyo/A1315/A131501/13200152/,居酒屋
70,0,3,0,2,1.8,0.4,0,1,2,沖縄の味 ぶがりの～し,沖縄料理,no data,,東京都品川区大井1-11-3ニュー森田ビル２Ｆ,大井町駅から189m,11:30～14:0017:00～24:00(L.O.23:30)ランチ営業、夜10時以降入店可,日曜日,"[夜]￥4,000～￥4,999[昼]～￥999",4000,4999,0,999,no data,,,,,可（VISA、MASTER、JCB、AMEX、Diners）,44席,44,no data,無,座敷あり,no data,知人・友人と,2時間半以上の宴会可,ちえぼ（4）,no data,no data,no data,no data,no data,no data,http://www.bealre.co.jp,no data,no data,no data,【品川区大井2-10-5より移転】,no data,no data,no data,no data,no data,ホットペッパーグルメ,no data,no data,70,35.607554,139.732453,高級和食,https://tabelog.com/tokyo/A1315/A131501/13027389/,沖縄料理
71,3,0,0,3,0,0,0.4,3,0,いさ美寿司,寿司、立ち食い寿司,no data,,東京都品川区東大井5-3-13,大井町駅から81m,18:00～24:00※ネタが終わり次第終了夜10時以降入店可,土曜不定休・日曜・祝日,"[夜]￥1,000～￥1,999[昼]￥1,000～￥1,999",1000,1999,1000,1999,no data,,,,,不可,7席（立ち食い7席）,7,無,無,座敷あり,Y!mobile、docomo、au、SoftBank,知人・友人と,no data,りょう123（539）,イノガシラゴロ～（700）...店舗情報（'15/12/2618:13）編集履歴を詳しく見る,不可,全面喫煙可,日本酒あり、焼酎あり、ワインあり,no data,no data,http://www.ooimachi-isami.jp/index.html,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71,35.6075514,139.7355109,高級和食,https://tabelog.com/tokyo/A1315/A131501/13057393/,寿司
73,3,0,0,3,0,0,1.2,3,0,楓庵,そば、うどん、かつ丼・かつ重,no data,,東京都品川区東大井3-3-14,JR京浜東北線、りんかい線、大井町駅　　　　　　　　　　中央東口より徒歩約１０分　　　　　　　　　　東急大井町線、大井町駅徒歩約１５分　　　　　　　　　　京浜急行線、鮫洲駅徒歩約１５分大井町駅から458m,11:00～15:00(第３水曜日は、１４：３０まで）16:30～20:30ランチ営業、日曜営業,木曜,"[夜]￥1,000～￥1,999[昼]～￥999",1000,1999,0,999,no data,,,,,no data,no data,,無,無,no data,docomo、au、SoftBank,知人・友人と,no data,にょろ55（674）,ルセロ（1377）...店舗情報（'11/11/0811:45）にょろ55（674）...店舗情報（'11/06/0410:03）編集履歴を詳しく見る,no data,no data,日本酒あり、焼酎あり,no data,一軒家レストラン,http://www1.cts.ne.jp/%7Emapple/,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73,35.604038,139.7371581,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13058612/,そば
80,3,0,0,1,0.8,0,2.4,3,0,臚雷亭,立ち飲み居酒屋・バー、中華料理,no data,予約不可,東京都品川区東大井5-4-15,JR京浜東北線大井町駅より徒歩2～3分大井町駅から168m,【月〜金】17：00～24:00（L.O.23:30）【土】〜22:00（L.O.21:30）夜10時以降入店可,日曜日,"[夜]￥1,000～￥1,999[昼]～￥999",1000,1999,0,999,no data,,,,,不可,（立ち呑みカウンターのみ）,,無,無,カウンター席あり、スポーツ観戦可,au、docomo、SoftBank、Y!mobile,一人で入りやすい｜知人・友人と,no data,まっぱぁ（959）,イノガシラゴロ～（700）...店舗情報（'17/06/0913:04）noki2013（4）...店舗情報（'17/02/1005:11）編集履歴を詳しく見る,不可,全面喫煙可,日本酒あり、焼酎あり、ワインあり,no data,no data,no data,no data,no data,no data,テレビあり,no data,サービス料、チャージ、お通しなし,no data,no data,no data,no data,no data,no data,80,35.6076153,139.7363414,バー・お酒,https://tabelog.com/tokyo/A1315/A131501/13113876/,立ち飲み居酒屋・バー
81,3,0,0,3,0.4,0.4,0.4,3,0,なごし,鉄板焼き、お好み焼き,no data,,東京都品川区大井1-21-18,大井町駅から279m,17:00～翌1:00,,"[夜]￥2,000～￥2,999",2000,2999,,,no data,,,,,可（JCB、AMEX）,no data,,no data,no data,no data,no data,知人・友人と,no data,fruity（135）,ムー民(114496)（419）...店舗情報（'14/12/0519:49）編集履歴を詳しく見る,no data,no data,no data,no data,no data,no data,no data,2011年8月22日,no data,no data,no data,no data,no data,no data,no data,no data,03-3773-0511,no data,81,35.6070875,139.73135,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13130207/,お好み焼き
87,0,3,0,0.4,2,1,0,1,2,大井町 日本酒 宵月,割烹・小料理,no data,予約可,東京都品川区大井1-41-1薩田ビル1F,JR京浜東北線大井町駅徒歩7分りんかい線大井町駅徒歩7分大井町駅から506m,18:00～23:30(L.O.23:00)夜10時以降入店可,日曜日、月曜日,"[夜]￥4,000～￥4,999",4000,4999,,,"[夜]￥4,000～￥4,999",4000,4999,,,可（VISA、MASTER、AMEX）,12席（カウンター6席、ソファー席(4~5名用)）,12,無,無,落ち着いた空間、カウンター席あり、ソファー席あり,no data,一人で入りやすい,no data,Kibao.（32）,しばっち４８（1）...店舗情報（'16/11/3016:05）編集履歴を詳しく見る,可（20人以下可）,完全禁煙,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる、焼酎にこだわる,no data,no data,no data,https://www.facebook.com/日本酒-宵月-1832777467005897/,2016年1月30日,no data,2016年11月よりオーナーチェンジにて再オープン,no data,no data,no data,no data,no data,no data,no data,no data,87,35.604135,139.7310047,高級和食,https://tabelog.com/tokyo/A1315/A131501/13192489/,割烹・小料理
90,0,3,0,3,0,0,0,3,0,CFT北一倶楽部 大井町店,ジンギスカン,no data,予約可,東京都品川区大井1-1-10,各線大井町駅より徒歩2～3分大井町駅から111m,17：00～23：00,日曜日,"[夜]￥3,000～￥3,999[昼]～￥999",3000,3999,0,999,no data,,,,,可（VISA）,21席（カウンター7席・テーブル14席）,21,無,無,カウンター席あり,docomo、au、SoftBank,知人・友人と,no data,日進町の住人（7）,masaheko（35）...店舗情報（'13/10/2500:39）ツイストマン（1836）...店舗情報（'13/01/2611:00）編集履歴を詳しく見る,no data,全面喫煙可,日本酒あり、焼酎あり,no data,no data,http://khsnomiya.jimdo.com/,no data,no data,no data,no data,no data,無し,no data,no data,no data,no data,no data,no data,90,35.6064324,139.7433882,焼肉・ホルモン・鍋,https://tabelog.com/tokyo/A1315/A131501/13085851/,ジンギスカン
